date,close_t,close_t-1,close_t-2,close_t-3,anxiety_t-1,anxiety_t-2,anxiety_t-3
4/13/2009,8057.81,8083.38,7837.11,7789.56,0.230909091,0.232454545,0.234
4/14/2009,7920.18,8057.81,8083.38,7837.11,0.224727273,0.230909091,0.232454545
4/15/2009,8029.62,7920.18,8057.81,8083.38,0.223181818,0.224727273,0.230909091
4/16/2009,8125.43,8029.62,7920.18,8057.81,0.221636364,0.223181818,0.224727273
4/17/2009,8131.33,8125.43,8029.62,7920.18,0.220090909,0.221636364,0.223181818
4/20/2009,7841.73,8131.33,8125.43,8029.62,0.218545455,0.220090909,0.221636364
4/21/2009,7969.56,7841.73,8131.33,8125.43,0.269,0.218545455,0.220090909
4/22/2009,7886.57,7969.56,7841.73,8131.33,0.239,0.269,0.218545455
4/23/2009,7957.06,7886.57,7969.56,7841.73,0.240454545,0.239,0.269
4/24/2009,8076.29,7957.06,7886.57,7969.56,0.241909091,0.240454545,0.239
4/27/2009,8025,8076.29,7957.06,7886.57,0.243363636,0.241909091,0.240454545
4/28/2009,8016.95,8025,8076.29,7957.06,0.247727273,0.243363636,0.241909091
4/29/2009,8185.73,8016.95,8025,8076.29,0.249181818,0.247727273,0.243363636
4/30/2009,8168.12,8185.73,8016.95,8025,0.250636364,0.249181818,0.247727273
5/1/2009,8212.41,8168.12,8185.73,8016.95,0.252090909,0.250636364,0.249181818
5/4/2009,8426.74,8212.41,8168.12,8185.73,0.253545455,0.252090909,0.250636364
5/5/2009,8410.65,8426.74,8212.41,8168.12,0.241,0.253545455,0.252090909
5/6/2009,8512.28,8410.65,8426.74,8212.41,0.249333333,0.241,0.253545455
5/7/2009,8409.85,8512.28,8410.65,8426.74,0.257666667,0.249333333,0.241
5/8/2009,8574.65,8409.85,8512.28,8410.65,0.266,0.257666667,0.249333333
5/11/2009,8418.77,8574.65,8409.85,8512.28,0.274333333,0.266,0.257666667
5/12/2009,8469.11,8418.77,8574.65,8409.85,0.273,0.274333333,0.266
5/13/2009,8284.89,8469.11,8418.77,8574.65,0.243,0.273,0.274333333
5/14/2009,8331.32,8284.89,8469.11,8418.77,0.239,0.243,0.273
5/15/2009,8268.64,8331.32,8284.89,8469.11,0.235,0.239,0.243
5/18/2009,8504.08,8268.64,8331.32,8284.89,0.243333333,0.235,0.239
5/19/2009,8474.85,8504.08,8268.64,8331.32,0.258,0.243333333,0.235
5/20/2009,8422.04,8474.85,8504.08,8268.64,0.25925,0.258,0.243333333
5/21/2009,8292.13,8422.04,8474.85,8504.08,0.2605,0.25925,0.258
5/22/2009,8277.32,8292.13,8422.04,8474.85,0.26175,0.2605,0.25925
5/26/2009,8473.49,8277.32,8292.13,8422.04,0.263,0.26175,0.2605
5/27/2009,8300.02,8473.49,8277.32,8292.13,0.292,0.263,0.26175
5/28/2009,8403.8,8300.02,8473.49,8277.32,0.259,0.292,0.263
5/29/2009,8500.33,8403.8,8300.02,8473.49,0.2555,0.259,0.292
6/1/2009,8721.44,8500.33,8403.8,8300.02,0.252,0.2555,0.259
6/2/2009,8740.87,8721.44,8500.33,8403.8,0.265,0.252,0.2555
6/3/2009,8675.24,8740.87,8721.44,8500.33,0.264,0.265,0.252
6/4/2009,8750.24,8675.24,8740.87,8721.44,0.245,0.264,0.265
6/5/2009,8763.13,8750.24,8675.24,8740.87,0.264,0.245,0.264
6/8/2009,8764.49,8763.13,8750.24,8675.24,0.25,0.264,0.245
6/9/2009,8763.06,8764.49,8763.13,8750.24,0.216,0.25,0.264
6/10/2009,8739.02,8763.06,8764.49,8763.13,0.241166667,0.216,0.25
6/11/2009,8770.92,8739.02,8763.06,8764.49,0.266333333,0.241166667,0.216
6/12/2009,8799.26,8770.92,8739.02,8763.06,0.2915,0.266333333,0.241166667
6/15/2009,8612.13,8799.26,8770.92,8739.02,0.316666667,0.2915,0.266333333
6/16/2009,8504.67,8612.13,8799.26,8770.92,0.244,0.316666667,0.2915
6/17/2009,8497.18,8504.67,8612.13,8799.26,0.229,0.244,0.316666667
6/18/2009,8555.6,8497.18,8504.67,8612.13,0.169,0.229,0.244
6/19/2009,8539.73,8555.6,8497.18,8504.67,0.158,0.169,0.229
6/22/2009,8339.01,8539.73,8555.6,8497.18,0.178,0.158,0.169
6/23/2009,8322.91,8339.01,8539.73,8555.6,0.16,0.178,0.158
6/24/2009,8299.86,8322.91,8339.01,8539.73,0.16,0.16,0.178
6/25/2009,8472.4,8299.86,8322.91,8339.01,0.182,0.16,0.16
6/26/2009,8438.39,8472.4,8299.91,8322.91,0.147,0.182,0.16
