date,close_t,close_t-1,close_t-2,close_t-3,happy_t-1,happy_t-2,happy_t-3
4/13/2009,8057.81,8083.38,7837.11,7789.56,0.018090909,0.017545455,0.017
4/14/2009,7920.18,8057.81,8083.38,7837.11,0.020272727,0.018090909,0.017545455
4/15/2009,8029.62,7920.18,8057.81,8083.38,0.020818182,0.020272727,0.018090909
4/16/2009,8125.43,8029.62,7920.18,8057.81,0.021363636,0.020818182,0.020272727
4/17/2009,8131.33,8125.43,8029.62,7920.18,0.021909091,0.021363636,0.020818182
4/20/2009,7841.73,8131.33,8125.43,8029.62,0.022454545,0.021909091,0.021363636
4/21/2009,7969.56,7841.73,8131.33,8125.43,0.015,0.022454545,0.021909091
4/22/2009,7886.57,7969.56,7841.73,8131.33,0.015,0.015,0.022454545
4/23/2009,7957.06,7886.57,7969.56,7841.73,0.015363636,0.015,0.015
4/24/2009,8076.29,7957.06,7886.57,7969.56,0.015727273,0.015363636,0.015
4/27/2009,8025,8076.29,7957.06,7886.57,0.016090909,0.015727273,0.015363636
4/28/2009,8016.95,8025,8076.29,7957.06,0.017181818,0.016090909,0.015727273
4/29/2009,8185.73,8016.95,8025,8076.29,0.017545455,0.017181818,0.016090909
4/30/2009,8168.12,8185.73,8016.95,8025,0.017909091,0.017545455,0.017181818
5/1/2009,8212.41,8168.12,8185.73,8016.95,0.018272727,0.017909091,0.017545455
5/4/2009,8426.74,8212.41,8168.12,8185.73,0.018636364,0.018272727,0.017909091
5/5/2009,8410.65,8426.74,8212.41,8168.12,0.017,0.018636364,0.018272727
5/6/2009,8512.28,8410.65,8426.74,8212.41,0.016666667,0.017,0.018636364
5/7/2009,8409.85,8512.28,8410.65,8426.74,0.016333333,0.016666667,0.017
5/8/2009,8574.65,8409.85,8512.28,8410.65,0.016,0.016333333,0.016666667
5/11/2009,8418.77,8574.65,8409.85,8512.28,0.015666667,0.016,0.016333333
5/12/2009,8469.11,8418.77,8574.65,8409.85,0.014,0.015666667,0.016
5/13/2009,8284.89,8469.11,8418.77,8574.65,0.014,0.014,0.015666667
5/14/2009,8331.32,8284.89,8469.11,8418.77,0.0155,0.014,0.014
5/15/2009,8268.64,8331.32,8284.89,8469.11,0.017,0.0155,0.014
5/18/2009,8504.08,8268.64,8331.32,8284.89,0.017666667,0.017,0.0155
5/19/2009,8474.85,8504.08,8268.64,8331.32,0.022,0.017666667,0.017
5/20/2009,8422.04,8474.85,8504.08,8268.64,0.021,0.022,0.017666667
5/21/2009,8292.13,8422.04,8474.85,8504.08,0.02,0.021,0.022
5/22/2009,8277.32,8292.13,8422.04,8474.85,0.019,0.02,0.021
5/26/2009,8473.49,8277.32,8292.13,8422.04,0.018,0.019,0.02
5/27/2009,8300.02,8473.49,8277.32,8292.13,0.0115,0.018,0.019
5/28/2009,8403.8,8300.02,8473.49,8277.32,0.023,0.0115,0.018
5/29/2009,8500.33,8403.8,8300.02,8473.49,0.0215,0.023,0.0115
6/1/2009,8721.44,8500.33,8403.8,8300.02,0.02,0.0215,0.023
6/2/2009,8740.87,8721.44,8500.33,8403.8,0.021,0.02,0.0215
6/3/2009,8675.24,8740.87,8721.44,8500.33,0.022,0.021,0.02
6/4/2009,8750.24,8675.24,8740.87,8721.44,0.022,0.022,0.021
6/5/2009,8763.13,8750.24,8675.24,8740.87,0.009,0.022,0.022
6/8/2009,8764.49,8763.13,8750.24,8675.24,0.019,0.009,0.022
6/9/2009,8763.06,8764.49,8763.13,8750.24,0.015,0.019,0.009
6/10/2009,8739.02,8763.06,8764.49,8763.13,0.018333333,0.015,0.019
6/11/2009,8770.92,8739.02,8763.06,8764.49,0.021666667,0.018333333,0.015
6/12/2009,8799.26,8770.92,8739.02,8763.06,0.025,0.021666667,0.018333333
6/15/2009,8612.13,8799.26,8770.92,8739.02,0.028333333,0.025,0.021666667
6/16/2009,8504.67,8612.13,8799.26,8770.92,0.018,0.028333333,0.025
6/17/2009,8497.18,8504.67,8612.13,8799.26,0.017,0.018,0.028333333
6/18/2009,8555.6,8497.18,8504.67,8612.13,0.013,0.017,0.018
6/19/2009,8539.73,8555.6,8497.18,8504.67,0.015,0.013,0.017
6/22/2009,8339.01,8539.73,8555.6,8497.18,0.014,0.015,0.013
6/23/2009,8322.91,8339.01,8539.73,8555.6,0.013,0.014,0.015
6/24/2009,8299.86,8322.91,8339.01,8539.73,0.013,0.013,0.014
6/25/2009,8472.4,8299.86,8322.91,8339.01,0.01,0.013,0.013
6/26/2009,8438.39,8472.4,8299.91,8322.91,0.015,0.01,0.013
