date,close_t,close_t-1,close_t-2,close_t-3
4/13/2009,8057.81,8083.38,7837.11,7789.56
4/14/2009,7920.18,8057.81,8083.38,7837.11
4/15/2009,8029.62,7920.18,8057.81,8083.38
4/16/2009,8125.43,8029.62,7920.18,8057.81
4/17/2009,8131.33,8125.43,8029.62,7920.18
4/20/2009,7841.73,8131.33,8125.43,8029.62
4/21/2009,7969.56,7841.73,8131.33,8125.43
4/22/2009,7886.57,7969.56,7841.73,8131.33
4/23/2009,7957.06,7886.57,7969.56,7841.73
4/24/2009,8076.29,7957.06,7886.57,7969.56
4/27/2009,8025,8076.29,7957.06,7886.57
4/28/2009,8016.95,8025,8076.29,7957.06
4/29/2009,8185.73,8016.95,8025,8076.29
4/30/2009,8168.12,8185.73,8016.95,8025
5/1/2009,8212.41,8168.12,8185.73,8016.95
5/4/2009,8426.74,8212.41,8168.12,8185.73
5/5/2009,8410.65,8426.74,8212.41,8168.12
5/6/2009,8512.28,8410.65,8426.74,8212.41
5/7/2009,8409.85,8512.28,8410.65,8426.74
5/8/2009,8574.65,8409.85,8512.28,8410.65
5/11/2009,8418.77,8574.65,8409.85,8512.28
5/12/2009,8469.11,8418.77,8574.65,8409.85
5/13/2009,8284.89,8469.11,8418.77,8574.65
5/14/2009,8331.32,8284.89,8469.11,8418.77
5/15/2009,8268.64,8331.32,8284.89,8469.11
5/18/2009,8504.08,8268.64,8331.32,8284.89
5/19/2009,8474.85,8504.08,8268.64,8331.32
5/20/2009,8422.04,8474.85,8504.08,8268.64
5/21/2009,8292.13,8422.04,8474.85,8504.08
5/22/2009,8277.32,8292.13,8422.04,8474.85
5/26/2009,8473.49,8277.32,8292.13,8422.04
5/27/2009,8300.02,8473.49,8277.32,8292.13
5/28/2009,8403.8,8300.02,8473.49,8277.32
5/29/2009,8500.33,8403.8,8300.02,8473.49
6/1/2009,8721.44,8500.33,8403.8,8300.02
6/2/2009,8740.87,8721.44,8500.33,8403.8
6/3/2009,8675.24,8740.87,8721.44,8500.33
6/4/2009,8750.24,8675.24,8740.87,8721.44
6/5/2009,8763.13,8750.24,8675.24,8740.87
6/8/2009,8764.49,8763.13,8750.24,8675.24
6/9/2009,8763.06,8764.49,8763.13,8750.24
6/10/2009,8739.02,8763.06,8764.49,8763.13
6/11/2009,8770.92,8739.02,8763.06,8764.49
6/12/2009,8799.26,8770.92,8739.02,8763.06
6/15/2009,8612.13,8799.26,8770.92,8739.02
6/16/2009,8504.67,8612.13,8799.26,8770.92
6/17/2009,8497.18,8504.67,8612.13,8799.26
6/18/2009,8555.6,8497.18,8504.67,8612.13
6/19/2009,8539.73,8555.6,8497.18,8504.67
6/22/2009,8339.01,8539.73,8555.6,8497.18
6/23/2009,8322.91,8339.01,8539.73,8555.6
6/24/2009,8299.86,8322.91,8339.01,8539.73
6/25/2009,8472.4,8299.86,8322.91,8339.01
6/26/2009,8438.39,8472.4,8299.91,8322.91
